date,formulas,page_id,rev_id
2001-07-24,[],1176,234714
2004-09-01,"['\\forall a, b \\in X,\\ a R b \\and b R a \\rightarrow a = c']",1176,5591456
2004-09-01,"['\\forall a, b \\in X,\\ a R b \\and b R a \\rightarrow a = b']",1176,5629522
2004-09-03,"['\\forall a, b \\in X,\\ a R b \\and b R a \\Rightarrow a = b']",1176,5631522
2004-09-03,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b']",1176,6144130
2004-12-01,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b  \\in X,\\ a R b \\; \\Rightarrow b \\not R a']",1176,8011313
2005-02-08,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b  \\in X,\\ a R b \\; \\Rightarrow \\lnot(b R a)']",1176,10075302
2005-11-22,[],1176,28954872
2005-11-22,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b  \\in X,\\ a R b \\; \\Rightarrow \\lnot(b R a)']",1176,28956274
2005-11-22,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b']",1176,28988530
2007-01-07,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\rightarrow \\; a = b']",1176,98984493
2007-01-07,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b']",1176,98988696
2007-04-17,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ a R b \\and a \\ne b \\Rightarrow \\lnot b R a']",1176,123648050
2008-06-18,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ a R b \\and a \\ne b \\Rightarrow \\lnot b R a.']",1176,220181950
2008-12-22,"['\\forall a, b \\in X,\\ a R b \\and b R a \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ a R b \\and a \\ne b \\Rightarrow \\lnot ( b R a ) .']",1176,259559139
2009-07-31,"['\\forall a, b \\in X,\\ R(a,b) \\and R(b,a) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ R(a,b) \\and a \\ne b \\Rightarrow \\lnot  R(b,a) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,305243530
2013-02-04,[],1176,536501024
2013-02-04,"['\\forall a, b \\in X,\\ R(a,b) \\and R(b,a) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ R(a,b) \\and a \\ne b \\Rightarrow \\lnot  R(b,a) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,536501262
2013-02-04,[],1176,536501644
2013-02-04,"['\\forall a, b \\in X,\\ R(a,b) \\and R(b,a) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ R(a,b) \\and a \\ne b \\Rightarrow \\lnot  R(b,a) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,536501691
2016-07-20,"['\\forall a, b \\in X,\\ (aRb \\and bRa) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ (aRb \\and a \\ne b \\Rightarrow \\lnot  bRa) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,730734528
2018-04-17,"['\\forall a, b \\in X,\\ (aRb \\and bRa) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ (aRb \\and a \\ne b) \\Rightarrow \\lnot  bRa .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,836906776
2018-04-17,"['\\forall a, b \\in X,\\ (aRb \\and bRa) \\; \\Rightarrow \\; a = b', '\\forall a, b \\in X,\\ (aRb \\and a \\ne b \\Rightarrow \\lnot  bRa) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,836949144
2018-04-17,"['\\forall a, b \\in X,\\ (aRb \\and bRa \\; \\Rightarrow \\; a = b)', '\\forall a, b \\in X,\\ (aRb \\and a \\ne b \\Rightarrow \\lnot  bRa) .', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,836949371
2018-06-12,"['\\forall a, b \\in X,\\ (aRb \\and a \\ne b \\Rightarrow \\lnot  bRa)', '\\forall a, b \\in X,\\ (aRb \\and bRa \\; \\Rightarrow \\; a = b)', 'A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B']",1176,845608531
2018-06-12,['A \\subseteq B \\and B \\subseteq A \\Rightarrow A = B'],1176,845610148
2018-11-14,['A \\subseteq B \\land B \\subseteq A \\Rightarrow A = B'],1176,868847121
2001-07-17,[],1018,349575014
2004-03-20,['x^2 + 1'],1018,3407069
2005-06-24,['x^2 + 1 = 0'],1018,15725339
2005-06-24,['3x^2 + 1 = 0'],1018,15812307
2005-11-19,"['F', 'F', 'F', 'F', 'F', '3x^2 + 1 = 0', 'F', 'n', 'f', 'F^n', 'F', 'F']",1018,28755959
