date,total_days,total_eq,active_eqs,deleted_eqs,inserted_eqs,comeback_eqs
2003-01-20,0,1124,820,0,820,0
2003-02-20,31,2445,1642,57,879,6
2003-03-20,59,3076,2079,43,480,1
2003-04-20,90,3822,2568,50,539,5
2003-05-20,120,4662,3043,89,564,2
2003-06-20,151,5647,3705,109,771,6
2003-07-20,181,6260,4036,108,439,5
2003-08-20,212,6955,4486,111,561,2
2003-09-20,243,7749,4937,144,595,11
2003-10-20,273,8301,5277,97,437,13
2003-11-20,304,9018,5728,88,539,13
2003-12-20,334,10011,6305,129,706,11
2004-01-20,365,11411,7100,184,979,8
2004-02-20,396,13243,8123,261,1284,18
2004-03-20,425,15305,9283,384,1544,18
2004-04-20,456,17081,10235,345,1297,56
2004-05-20,486,19694,11615,552,1932,25
2004-06-20,517,22732,12983,978,2346,34
2004-07-20,547,25789,14453,707,2177,27
2004-08-20,578,29085,16390,679,2616,46
2004-09-20,609,32702,18190,1012,2812,53
2004-10-20,639,35916,19956,764,2530,33
2004-11-20,670,39459,21929,799,2772,34
2004-12-20,700,42927,23940,745,2756,44
2005-01-20,731,46144,25641,840,2541,42
2005-02-20,762,50404,27969,1007,3335,114
2005-03-20,790,54828,30151,1314,3496,60
2005-04-20,821,59924,32646,1349,3844,83
2005-05-20,851,64790,35321,1176,3851,137
2005-06-20,882,69153,37755,1075,3509,93
2005-07-20,912,74288,40758,1063,4066,79
2005-08-20,943,79928,43308,1474,4024,76
2005-09-20,974,85662,45983,1359,4034,71
2005-10-20,1004,91528,48949,1609,4575,129
2005-11-20,1035,98621,52632,1804,5487,117
2005-12-20,1065,106502,56440,1846,5654,127
2006-01-20,1096,115034,60940,1771,6271,139
2006-02-20,1127,122932,64717,2179,5956,168
2006-03-20,1155,130425,68259,2005,5547,158
2006-04-20,1186,138516,72280,2229,6250,131
2006-05-20,1216,147791,77096,2387,7203,262
2006-06-20,1247,156397,81617,2431,6952,262
2006-07-20,1277,164005,85333,2004,5720,190
2006-08-20,1308,169408,88050,1483,4200,233
2006-09-20,1339,169408,88050,0,0,0
2006-10-20,1369,169408,88050,0,0,0
2006-11-20,1400,169408,88050,0,0,0
2006-12-20,1430,169408,88050,0,0,0
2007-01-20,1461,169408,88050,0,0,0
2007-02-20,1492,169408,88050,0,0,0
2007-03-20,1520,169408,88050,0,0,0
2007-04-20,1551,169408,88050,0,0,0
2007-05-20,1581,169408,88050,0,0,0
2007-06-20,1612,169408,88050,0,0,0
2007-07-20,1642,169408,88050,0,0,0
2007-08-20,1673,169408,88050,0,0,0
2007-09-20,1704,169408,88050,0,0,0
2007-10-20,1734,169408,88050,0,0,0
2007-11-20,1765,169408,88050,0,0,0
2007-12-20,1795,169408,88050,0,0,0
2008-01-20,1826,169408,88050,0,0,0
2008-02-20,1857,169408,88050,0,0,0
2008-03-20,1886,169408,88050,0,0,0
2008-04-20,1917,169408,88050,0,0,0
2008-05-20,1947,169408,88050,0,0,0
2008-06-20,1978,169408,88050,0,0,0
2008-07-20,2008,169408,88050,0,0,0
2008-08-20,2039,169408,88050,0,0,0
2008-09-20,2070,169408,88050,0,0,0
2008-10-20,2100,169408,88050,0,0,0
2008-11-20,2131,169408,88050,0,0,0
2008-12-20,2161,169408,88050,0,0,0
